ctm,ctmString,open,close,high,low,vol
1594850400000,"Jul 16, 2020 12:00:00 AM",1069272.0,-15943.0,452.0,-21774.0,2101255.0
1594936800000,"Jul 17, 2020 12:00:00 AM",1052378.0,10736.0,14447.0,0.0,1486725.0
1595196000000,"Jul 20, 2020 12:00:00 AM",1063173.0,31449.0,32923.0,-8576.0,1726475.0
1595282400000,"Jul 21, 2020 12:00:00 AM",1095101.0,-10630.0,10601.0,-16680.0,1938005.0
1595368800000,"Jul 22, 2020 12:00:00 AM",1084926.0,-454.0,6570.0,-8785.0,1710430.0
1595455200000,"Jul 23, 2020 12:00:00 AM",1084074.0,-27683.0,9676.0,-32633.0,2147223.0
1595541600000,"Jul 24, 2020 12:00:00 AM",1057278.0,-10280.0,2374.0,-27056.0,2153495.0
1595800800000,"Jul 27, 2020 12:00:00 AM",1049948.0,18193.0,18339.0,-9891.0,1629182.0
1595887200000,"Jul 28, 2020 12:00:00 AM",1069099.0,-14431.0,6664.0,-17727.0,1715869.0
1595973600000,"Jul 29, 2020 12:00:00 AM",1056751.0,13042.0,13121.0,-5567.0,1387411.0
1596060000000,"Jul 30, 2020 12:00:00 AM",1069199.0,19869.0,20187.0,-18948.0,1756879.0
1596146400000,"Jul 31, 2020 12:00:00 AM",1091578.0,-1877.0,2254.0,-22477.0,2024205.0
1596405600000,"Aug 3, 2020 12:00:00 AM",1091767.0,13375.0,15481.0,-4177.0,1485263.0
1596492000000,"Aug 4, 2020 12:00:00 AM",1104301.0,3417.0,5056.0,-6039.0,1561629.0
1596578400000,"Aug 5, 2020 12:00:00 AM",1107328.0,2218.0,6973.0,-1771.0,1483988.0
1596664800000,"Aug 6, 2020 12:00:00 AM",1108648.0,17134.0,18442.0,-3547.0,1724988.0
1596751200000,"Aug 7, 2020 12:00:00 AM",1125595.0,-12781.0,2617.0,-22098.0,2051606.0
1597010400000,"Aug 10, 2020 12:00:00 AM",1112327.0,-4419.0,2275.0,-19487.0,2112059.0
1597096800000,"Aug 11, 2020 12:00:00 AM",1106623.0,-15612.0,8973.0,-22098.0,2332990.0
1597183200000,"Aug 12, 2020 12:00:00 AM",1093819.0,17798.0,24531.0,-6010.0,1880814.0
1597269600000,"Aug 13, 2020 12:00:00 AM",1112627.0,5468.0,13850.0,-3268.0,1917510.0
1597356000000,"Aug 14, 2020 12:00:00 AM",1118777.0,-2977.0,4875.0,-9199.0,1668132.0
1597615200000,"Aug 17, 2020 12:00:00 AM",1115228.0,13393.0,14763.0,-376.0,1187291.0
1597701600000,"Aug 18, 2020 12:00:00 AM",1128558.0,12737.0,12879.0,-1681.0,1392400.0
1597788000000,"Aug 19, 2020 12:00:00 AM",1141171.0,-9075.0,2532.0,-11280.0,1546600.0
1597874400000,"Aug 20, 2020 12:00:00 AM",1132553.0,15414.0,17018.0,-10446.0,1592754.0
1597960800000,"Aug 21, 2020 12:00:00 AM",1148253.0,7148.0,8988.0,-7601.0,1805681.0
1598220000000,"Aug 24, 2020 12:00:00 AM",1158703.0,4613.0,13501.0,-5856.0,2681623.0
1598306400000,"Aug 25, 2020 12:00:00 AM",1163799.0,9791.0,10334.0,-6272.0,2206935.0
1598392800000,"Aug 26, 2020 12:00:00 AM",1173544.0,240.0,2168.0,-590.0,48968.0
